work-id,celex
01cc1163-3c08-11ee-ae72-01aa75ed71a1,32023R1634
01cf0ac1-b5b0-11ec-b6f4-01aa75ed71a1,32021M10350
01cf6827-b813-11e9-9d01-01aa75ed71a1,32019R1322
01d03c83-93a3-4e4c-9917-a2976dc4f1b1,32008D0571
01d0acd5-81e2-410d-b272-9cb6fabd5be9,32010M5862
01d11c93-0a1d-4f4d-9ed7-25e659d714b5,31981D0361
01d19faa-8ad1-4b2c-bc0e-af0eb04e0870,32017M8558
01d4566e-5f01-48c6-8e41-5ea1028a3013,31992A0236
01d55833-0660-11ee-b12e-01aa75ed71a1,32023R1114
01d62e65-b896-495d-81f4-4d9f78b88766,31973R0558
01d63496-f3a7-11e3-831f-01aa75ed71a1,32013R1273R(01)
