work-id,celex-expr-id,celex-man-id,celex-cs-id,suffix,mtd
728fa1a3-aa7e-45d1-a024-a637fb4eabab,ENG,html,31997R0530en.html,html,tree_non_inferred.rdf
fefdf7d6-fae6-4eea-9ba9-ae72d1a9f110,ENG,xhtml,L_2004248EN.01001401.doc.html,html,tree_non_inferred.rdf
e656f80c-657d-40aa-a58d-5e951988cbfe,ENG,html,31976D0228en.html,html,tree_non_inferred.rdf
e9cc666d-ab4d-4716-a3e8-df42fc0e0747,ENG,xhtml,C_2007070EN.01000901.doc.html,html,tree_non_inferred.rdf
f8ea71a7-9d99-11e6-868c-01aa75ed71a1,ENG,xhtml,L_2016295EN.01001101.doc.html,html,tree_non_inferred.rdf
936eb004-e9a1-11e6-ad7c-01aa75ed71a1,ENG,xhtml,L_2017029EN.01004001.doc.html,html,tree_non_inferred.rdf
abc60759-b0b8-46a8-914c-1c0c7faac750,ENG,html,32001R2497en.html,html,tree_non_inferred.rdf
a24d8ab8-b4bd-4564-8dc1-d2f02855fbdf,ENG,html,31960R0009_01_en.html,html,tree_non_inferred.rdf
cb835c09-7c69-467a-ac27-2ec5fc9ebbca,ENG,html,31986H0659en.html,html,tree_non_inferred.rdf
92b4090a-388c-11e9-8d04-01aa75ed71a1,ENG,xhtml,L_2019055EN.01000701.doc.html,html,tree_non_inferred.rdf
ab458b62-b58b-11e3-86f9-01aa75ed71a1,ENG,xhtml,L_2014091EN.01001001.doc.html,html,tree_non_inferred.rdf
4c69296b-d4dc-11e2-bfa7-01aa75ed71a1,ENG,xhtml,L_2013162EN.01000101.doc.html,html,tree_non_inferred.rdf
1500c013-eb80-4f6e-ad35-bc1c0697bc0d,ENG,html,31996R0539en.html,html,tree_non_inferred.rdf
29364346-efe2-11e9-a32c-01aa75ed71a1,ENG,xhtml,L_2019263EN.01004101.doc.html,html,tree_non_inferred.rdf
4d5f4ef8-c10d-11ec-b6f4-01aa75ed71a1,ENG,xhtml,L_2022119EN.01007901.doc.html,html,tree_non_inferred.rdf
95f4d67f-96d3-11ed-b508-01aa75ed71a1,ENG,xhtml,L_2023016EN.01003601.doc.html,html,tree_non_inferred.rdf
cebc0f6c-c10d-4136-8c48-0cc8209a11ca,ENG,html,31980D1071en.html,html,tree_non_inferred.rdf
9f6b0aad-06f0-11e8-b8f5-01aa75ed71a1,ENG,xhtml,L_2018029EN.01001301.doc.html,html,tree_non_inferred.rdf
dda28c7d-b06e-11ea-bb7a-01aa75ed71a1,ENG,xhtml,L_2020193EN.01001601.doc.html,html,tree_non_inferred.rdf
571b7346-33a1-11eb-b27b-01aa75ed71a1,ENG,xhtml,L_2020402EN.01013801.doc.html,html,tree_non_inferred.rdf
e07f6e69-7f6b-11ee-99ba-01aa75ed71a1,ENG,xhtml,L_202302506EN.html,html,tree_non_inferred.rdf
a4961010-c96c-40ea-b996-42f23868703f,ENG,html,31983D0314en.html,html,tree_non_inferred.rdf
011aeb0f-9384-11ec-b4e4-01aa75ed71a1,ENG,xhtml,L_2022041EN.01000101.doc.html,html,tree_non_inferred.rdf
fc5db199-2563-11ea-af81-01aa75ed71a1,ENG,xhtml,L_2019332EN.01015201.doc.html,html,tree_non_inferred.rdf
96629b55-8bd6-404d-9e6e-db2100d12bf9,ENG,html,31993M0301en.html,html,tree_non_inferred.rdf
0f496711-75a7-4c49-a602-e41ac37bf0f2,ENG,xhtml,L_2007246EN.01004701.doc.html,html,tree_non_inferred.rdf
541ad798-b7e1-11e8-99ee-01aa75ed71a1,ENG,xhtml,L_2018231EN.01001901.doc.html,html,tree_non_inferred.rdf
44873e05-32d4-48a6-b5b5-8f26fc7be81c,ENG,html,32000M2235en.html,html,tree_non_inferred.rdf
d2270405-3299-4b7d-a667-d32385bad1b6,ENG,xhtml,L_2007122EN.01005101.doc.html,html,tree_non_inferred.rdf
bc2c7749-d1ca-4421-821c-4d2ed0164862,ENG,html,32004M3326en.html,html,tree_non_inferred.rdf
515be170-59d3-468a-b409-59ba1e49440a,ENG,xhtml,L_2009283EN.01004101.doc.html,html,tree_non_inferred.rdf
37280da7-2f8e-4780-9c5e-81795ba65911,ENG,html,31998L0095R_02_en.html,html,tree_non_inferred.rdf
e18a9a10-4f91-11e9-a8ed-01aa75ed71a1,ENG,xhtml,L_2019084EN.01000101.doc.html,html,tree_non_inferred.rdf
898eed5b-f986-4c8e-a0b2-4c80ce1d154f,ENG,html,32010M6074en.html,html,tree_non_inferred.rdf
ff4350f9-76d9-11e4-b593-01aa75ed71a1,ENG,xhtml,L_2014343EN.01000701.doc.html,html,tree_non_inferred.rdf
72a52aaa-0496-4572-94bb-1fd932e22eb8,ENG,html,31999M1469en.html,html,tree_non_inferred.rdf
a76a2384-e264-41a9-88a1-e25b43137bfa,ENG,html,32006M4053en.html,html,tree_non_inferred.rdf
5f9a3fa9-3b01-42a1-b3e6-4e35566a0128,ENG,html,31981D1030_02_en.html,html,tree_non_inferred.rdf
2f118bce-2e83-11e4-8c3c-01aa75ed71a1,ENG,xhtml,L_2014257EN.01018601.doc.html,html,tree_non_inferred.rdf
d397b701-00ef-4274-aab6-cd98dd8d1e7f,ENG,html,31985Y0104_03_en.html,html,tree_non_inferred.rdf
ccd208e8-d083-11e8-9424-01aa75ed71a1,ENG,xhtml,LI2018257EN.01000301.doc.html,html,tree_non_inferred.rdf
15102e5b-6f9c-11e3-b589-01aa75ed71a1,ENG,xhtml,L_2013353EN.01002301.doc.html,html,tree_non_inferred.rdf
32f3f10e-f84b-11e3-831f-01aa75ed71a1,ENG,xhtml,L_2014181EN.01004801.doc.html,html,tree_non_inferred.rdf
830a4878-4680-11ec-89db-01aa75ed71a1,ENG,xhtml,L_2021405EN.01002301.doc.html,html,tree_non_inferred.rdf
0456201d-45c0-11e7-aea8-01aa75ed71a1,ENG,xhtml,L_2017140EN.01000301.doc.html,html,tree_non_inferred.rdf
295976a8-744e-11e8-9483-01aa75ed71a1,ENG,xhtml,C_2018216EN.01000101.doc.html,html,tree_non_inferred.rdf
479be6b9-5475-4654-b880-ccbff89b115f,ENG,xhtml,L_2007112EN.01003201.doc.html,html,tree_non_inferred.rdf
2d31647c-df45-4aef-a718-df48f68b5f1c,ENG,html,31993L0051en.html,html,tree_non_inferred.rdf
4d2f4d96-5c09-11ed-92ed-01aa75ed71a1,ENG,xhtml,L_2022284EN.01005501.doc.html,html,tree_non_inferred.rdf
b6b684fd-93ae-4c21-b2e2-0565089f1d2d,ENG,xhtml,C_2007009EN.01000401.doc.html,html,tree_non_inferred.rdf
